Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,year
5,Michael Jordan,1988-89,25,CHI,NBA,19.8,81,81,40.2,11.9,22.2,11.6,21.0,0.3,1.2,8.3,9.8,1.8,6.2,8.0,8.0,2.9,0.8,3.6,3.0,32.5,.538,.553,.276,.546,.850,.614,1989
33,Charles Barkley,1988-89,25,PHI,NBA,16.1,79,79,39.1,8.9,15.3,8.4,13.2,0.4,2.1,7.6,10.1,5.1,7.4,12.5,4.1,1.6,0.8,3.2,3.3,25.8,.579,.636,.216,.594,.753,.653,1989
36,Magic Johnson,1988-89,29,LAL,NBA,16.1,77,77,37.5,7.5,14.8,6.8,12.3,0.8,2.4,6.7,7.3,1.4,6.4,7.9,12.8,1.8,0.3,4.1,2.2,22.5,.509,.548,.314,.535,.911,.625,1989
48,John Stockton,1988-89,26,UTA,NBA,15.6,82,82,38.7,6.1,11.3,5.9,10.5,0.2,0.8,4.8,5.5,1.0,2.0,3.0,13.6,3.2,0.2,3.8,2.9,17.1,.538,.561,.242,.547,.863,.624,1989
58,Karl Malone,1988-89,25,UTA,NBA,15.2,80,80,39.1,10.1,19.5,10.1,19.3,0.1,0.2,8.8,11.5,3.2,7.4,10.7,2.7,1.8,0.9,3.6,3.6,29.1,.519,.521,.313,.521,.766,.592,1989
171,Hakeem Olajuwon,1988-89,26,HOU,NBA,12.4,82,82,36.9,9.6,19.0,9.6,18.9,0.0,0.1,5.5,8.0,4.1,9.4,13.5,1.8,2.6,3.4,3.4,4.0,24.8,.508,.511,.000,.508,.696,.552,1989
178,Kevin Johnson,1988-89,22,PHO,NBA,12.2,81,81,39.2,7.0,13.9,7.0,13.7,0.0,0.3,6.3,7.1,0.6,3.6,4.2,12.2,1.7,0.3,4.0,2.8,20.4,.505,.514,.091,.506,.882,.597,1989
224,Mark Price,1988-89,24,CLE,NBA,11.3,75,74,36.4,7.1,13.4,5.8,10.6,1.2,2.8,3.5,3.9,0.6,2.4,3.0,8.4,1.5,0.1,2.8,1.3,18.9,.526,.548,.441,.572,.901,.623,1989
246,Patrick Ewing,1988-89,26,NYK,NBA,10.9,80,80,36.2,9.1,16.0,9.1,16.0,0.0,0.1,4.5,6.1,2.7,6.6,9.3,2.4,1.5,3.5,3.3,3.9,22.7,.567,.570,.000,.567,.746,.607,1989
251,Dale Ellis,1988-89,28,SEA,NBA,10.8,82,82,38.9,10.5,20.9,8.5,16.7,2.0,4.1,4.6,5.6,1.9,2.3,4.2,2.0,1.3,0.3,2.7,2.4,27.5,.501,.507,.478,.549,.816,.589,1989
273,Chris Mullin,1988-89,25,GSW,NBA,10.6,82,82,37.7,10.1,19.9,9.8,18.7,0.3,1.2,6.0,6.7,1.9,4.0,5.9,5.1,2.1,0.5,3.6,2.2,26.5,.509,.527,.230,.516,.892,.581,1989
281,Robert Parish,1988-89,35,BOS,NBA,10.5,80,80,35.5,7.5,13.1,7.5,13.1,0.0,0.0,3.7,5.1,4.3,8.2,12.5,2.2,1.0,1.5,2.5,2.6,18.6,.570,.570,,.570,.719,.607,1989
289,Dominique Wilkins,1988-89,29,ATL,NBA,10.4,80,80,37.5,10.2,22.0,9.8,20.6,0.4,1.3,5.5,6.6,3.2,3.7,6.9,2.6,1.5,0.7,2.3,1.7,26.2,.464,.475,.276,.472,.844,.528,1989
347,Tom Chambers,1988-89,29,PHO,NBA,9.2,81,81,37.1,9.6,20.3,9.2,19.2,0.3,1.1,6.3,7.4,1.8,6.7,8.4,2.9,1.1,0.7,2.9,3.3,25.7,.471,.479,.326,.480,.851,.547,1989
418,Terry Cummings,1988-89,27,MIL,NBA,7.7,80,78,35.3,9.1,19.5,9.0,19.4,0.1,0.2,4.5,5.8,3.5,4.6,8.1,2.5,1.3,0.9,2.5,3.3,22.9,.467,.467,.467,.469,.787,.518,1989
