tm,tm_value,year
LAL,900,2012
NYK,780,2012
CHI,600,2012
DAL,497,2012
BOS,482,2012
MIA,457,2012
HOU,453,2012
GSW,450,2012
SAS,418,2012
PHO,395,2012
ORL,385,2012
TOR,382,2012
POR,370,2012
NJN,357,2012
OKC,348,2012
UTA,335,2012
DET,332,2012
CLE,329,2012
WAS,328,2012
LAC,324,2012
DEN,316,2012
PHI,314,2012
SAC,300,2012
NOH,285,2012
IND,283,2012
CHA,277,2012
MIN,272,2012
ATL,270,2012
MEM,269,2012
MIL,268,2012
NYK,1100,2013
LAL,1000,2013
CHI,800,2013
BOS,730,2013
DAL,685,2013
MIA,625,2013
HOU,568,2013
GSW,555,2013
BRK,530,2013
SAS,527,2013
SAC,525,2013
OKC,475,2013
PHO,474,2013
ORL,470,2013
POR,457,2013
CLE,434,2013
UTA,432,2013
LAC,430,2013
DEN,427,2013
PHI,418,2013
TOR,405,2013
DET,400,2013
WAS,397,2013
IND,383,2013
MEM,377,2013
MIN,364,2013
NOH,340,2013
ATL,316,2013
CHA,315,2013
MIL,312,2013
NYK,1400,2014
LAL,1350,2014
CHI,1000,2014
BOS,875,2014
BRK,780,2014
HOU,775,2014
MIA,770,2014
DAL,765,2014
GSW,750,2014
SAS,660,2014
OKC,590,2014
POR,587,2014
LAC,575,2014
PHO,565,2014
ORL,560,2014
SAC,550,2014
UTA,525,2014
TOR,520,2014
CLE,515,2014
DEN,495,2014
WAS,485,2014
IND,475,2014
PHI,469,2014
MEM,453,2014
DET,450,2014
MIN,430,2014
ATL,425,2014
NOP,420,2014
CHA,410,2014
MIL,405,2014
NYK,3000,2016
LAL,2700,2016
CHI,2300,2016
BOS,2100,2016
LAC,2000,2016
GSW,1900,2016
BRK,1700,2016
HOU,1500,2016
DAL,1400,2016
MIA,1300,2016
SAS,1150,2016
CLE,1100,2016
PHO,1000,2016
TOR,980,2016
POR,975,2016
WAS,960,2016
OKC,950,2016
SAC,925,2016
ORL,900,2016
UTA,875,2016
DEN,855,2016
DET,850,2016
IND,840,2016
ATL,825,2016
MEM,780,2016
CHO,750,2016
MIN,720,2016
PHI,700,2016
MIL,675,2016
NOP,650,2016
NYK,3300,2017
LAL,3000,2017
GSW,2600,2017
CHI,2500,2017
BOS,2200,2017
LAC,2000,2017
BRK,1800,2017
HOU,1650,2017
DAL,1450,2017
MIA,1350,2017
CLE,1200,2017
SAS,1175,2017
TOR,1125,2017
PHO,1100,2017
SAC,1075,2017
POR,1050,2017
OKC,1025,2017
WAS,1000,2017
ORL,920,2017
UTA,910,2017
DET,900,2017
DEN,890,2017
ATL,885,2017
IND,880,2017
PHI,800,2017
MEM,790,2017
MIL,785,2017
CHO,780,2017
MIN,770,2017
NOP,750,2017
NYK,3600,2018
LAL,3300,2018
GSW,3100,2018
CHI,2600,2018
BOS,2500,2018
BRK,2300,2018
HOU,2200,2018
LAC,2150,2018
DAL,1900,2018
MIA,1700,2018
SAS,1550,2018
TOR,1400,2018
SAC,1375,2018
WAS,1350,2018
CLE,1325,2018
POR,1300,2018
PHO,1280,2018
OKC,1250,2018
ORL,1225,2018
UTA,1200,2018
PHI,1180,2018
IND,1175,2018
ATL,1150,2018
DEN,1125,2018
DET,1100,2018
MIL,1075,2018
MIN,1060,2018
CHO,1050,2018
MEM,1025,2018
NOP,1000,2018
NYK,4000,2019
LAL,3700,2019
GSW,3500,2019
CHI,2900,2019
BOS,2800,2019
BRK,2350,2019
HOU,2300,2019
DAL,2250,2019
LAC,2200,2019
MIA,1750,2019
TOR,1675,2019
PHI,1650,2019
SAS,1625,2019
POR,1600,2019
SAC,1575,2019
WAS,1550,2019
PHO,1500,2019
OKC,1475,2019
UTA,1425,2019
IND,1400,2019
DEN,1375,2019
MIL,1350,2019
ORL,1325,2019
ATL,1300,2019
CLE,1275,2019
DET,1270,2019
MIN,1260,2019
CHO,1250,2019
NOP,1220,2019
MEM,1200,2019
NYK,4600,2020
LAL,4400,2020
GSW,4300,2020
CHI,3200,2020
BOS,3100,2020
LAC,2600,2020
BRK,2500,2020
HOU,2475,2020
DAL,2400,2020
TOR,2100,2020
PHI,2000,2020
MIA,1950,2020
POR,1850,2020
SAS,1800,2020
SAC,1775,2020
WAS,1750,2020
PHO,1625,2020
DEN,1600,2020
MIL,1580,2020
OKC,1575,2020
UTA,1550,2020
IND,1525,2020
ATL,1520,2020
CLE,1510,2020
CHO,1500,2020
DET,1450,2020
ORL,1430,2020
MIN,1375,2020
NOP,1350,2020
MEM,1300,2020
NYK,655,2011
LAL,643,2011
CHI,511,2011
BOS,452,2011
HOU,443,2011
DAL,438,2011
MIA,425,2011
PHO,411,2011
SAS,404,2011
TOR,399,2011
ORL,385,2011
GSW,363,2011
DET,360,2011
POR,356,2011
CLE,355,2011
UTA,343,2011
PHI,330,2011
OKC,329,2011
WAS,322,2011
DEN,316,2011
NJN,312,2011
LAC,305,2011
ATL,295,2011
SAC,293,2011
CHA,281,2011
NOH,280,2011
IND,269,2011
MEM,266,2011
MIN,264,2011
MIL,258,2011
LAL,2600,2015
NYK,2500,2015
CHI,2000,2015
BOS,1700,2015
LAC,1600,2015
BRK,1500,2015
GSW,1300,2015
HOU,1250,2015
MIA,1175,2015
DAL,1150,2015
SAS,1000,2015
POR,940,2015
OKC,930,2015
TOR,920,2015
CLE,915,2015
PHO,910,2015
WAS,900,2015
ORL,875,2015
DEN,855,2015
UTA,850,2015
IND,830,2015
ATL,825,2015
